Number,Frage,Antwort
2034,Warum schließt es nicht?,"Wer weiß? Sie sagten, sie würden es vor der nächsten Saison reparieren."
2035,Kann ich deinen Kaffee probieren?,Sicher. Bitte schön.
2036,Sicher. Bitte schön.,"hmm, das ist nicht schlecht."
2037,"hmm, das ist nicht schlecht.",da ist nichts drin.
2038,da ist nichts drin.,Wie meinst du das?
2039,what do you mean?,"Ich meine, es ist nur Kaffee."
2040,"Ich meine, es ist nur Kaffee.",Das habe ich mir gedacht.
2041,Das habe ich mir gedacht.,es ist dir nicht zu bitter?
2042,es ist dir nicht zu bitter?,"es ist ein wenig bitter, aber es ist okay."
2043,"es ist ein wenig bitter, aber es ist okay.",Es ist weder Zucker noch Sahne drin.
2044,Es ist weder Zucker noch Sahne drin.,"Nein, es ist ein Geschmack, an den man sich gewöhnen muss."
2045,"Nein, es ist ein Geschmack, an den man sich gewöhnen muss.",Irgendwie wie Bier.
2046,Lass uns spazieren gehen.,Wie ist das Wetter?
2047,what's the weather like?,Lass mich rausgehen und nachsehen.
2048,Lass mich rausgehen und nachsehen.,"Es ist ein bisschen kühl, oder?"
2049,"Es ist ein bisschen kühl, oder?","Ja, so ist es."
2050,"yes, it is.",Ich werde meine Mütze aufsetzen.
2051,Ich werde meine Mütze aufsetzen.,trage auch eine Jacke.
2052,trage auch eine Jacke.,"Ich frage mich, ob ich meine Handschuhe mitbringen soll."
2053,"Ich frage mich, ob ich meine Handschuhe mitbringen soll.","Vielleicht solltest du das tun, nur für den Fall, dass es kälter wird."
2054,"Vielleicht solltest du das tun, nur für den Fall, dass es kälter wird.",Ich werde in jede Tasche einen Handschuh stecken.
2055,Ich werde in jede Tasche einen Handschuh stecken.,Beim Gehen wird es uns wärmer.
2056,Beim Gehen wird es uns wärmer.,"Ja, aber es wird kälter, wenn die Sonne untergeht."
2057,Schauen Sie sich die Verfolgungsjagd im Fernsehen an!,Dieser Fahrer ist verrückt.
2058,Dieser Fahrer ist verrückt.,"Ich kann nicht glauben, dass er nicht abgestürzt ist."
2059,"Ich kann nicht glauben, dass er nicht abgestürzt ist.",Wie schnell fährt er?
2060,Wie schnell fährt er?,"Sie sagen, er fährt 80 Meilen pro Stunde."
2061,"Sie sagen, er fährt 80 Meilen pro Stunde.",er wird jemanden töten.
2062,er wird jemanden töten.,sehen! Er hat gerade das Auto angefahren.
2063,sehen! Er hat gerade das Auto angefahren.,Meine Güte. Niemand ist auf der Straße sicher.
2064,Meine Güte. Niemand ist auf der Straße sicher.,jetzt wird er langsamer.
2065,jetzt wird er langsamer.,vielleicht ist ihm das Benzin ausgegangen.
2066,vielleicht ist ihm das Benzin ausgegangen.,sehen! Er stieg einfach aus dem Auto und fing an zu rennen.
2067,sehen! Er stieg einfach aus dem Auto und fing an zu rennen.,"Ich hoffe, dass die Polizei ihn erwischt."
2068,Fernsehnachrichten sind so dumm.,Sie sollten es nicht einmal als Neuigkeit bezeichnen.
2069,Sie sollten es nicht einmal als Neuigkeit bezeichnen.,Gestern Abend haben sie uns von einer Katze auf einem Sofa erzählt.
2070,Gestern Abend haben sie uns von einer Katze auf einem Sofa erzählt.,Gestern haben sie uns von einem Hund in einer Pfeife erzählt.
2071,Gestern haben sie uns von einem Hund in einer Pfeife erzählt.,Letzte Woche erzählten sie uns von einem Bären in einem Hinterhof.
2072,Letzte Woche erzählten sie uns von einem Bären in einem Hinterhof.,Letzten Monat erzählten sie uns von einer Maus in einem Restaurant.
2073,Letzten Monat erzählten sie uns von einer Maus in einem Restaurant.,Der Wettermann sagt uns die Temperatur in jeder Stadt.
2074,Der Wettermann sagt uns die Temperatur in jeder Stadt.,Der Sportler zeigt uns kämpfende Spieler.
2075,Der Sportler zeigt uns kämpfende Spieler.,"Sie sagen uns immer, was als nächstes kommt."
2076,"Sie sagen uns immer, was als nächstes kommt.","Sie lassen „Was kommt als nächstes?“ immer spannend klingen, aber das ist es nie."
2077,"Sie lassen „Was kommt als nächstes?“ immer spannend klingen, aber das ist es nie.",Es sind eher Nachrichten für Kinder.
2078,Es sind eher Nachrichten für Kinder.,Sie sollten Kinderreporter haben.
2079,Ich liebe meinen Computer.,Computer sind so cool.
2080,Computer sind so cool.,"Ich liebe es, online zu gehen."
2081,"Ich liebe es, online zu gehen.",Das Internet ist großartig.
2082,Das Internet ist großartig.,Sie können um die ganze Welt reisen.
2083,Sie können um die ganze Welt reisen.,Ich weiß. Ich war gestern in China.
2084,Ich weiß. Ich war gestern in China.,Was hast du gemacht?
2085,what did you do?,Ich stand auf der großen Mauer und schaute mich um.
2086,Ich stand auf der großen Mauer und schaute mich um.,wie war es?
2087,wie war es?,es war wie echt.
2088,es war wie echt.,"es war, als wäre man dort?"
2089,"es war, als wäre man dort?","Ja, ich hatte das Gefühl, tatsächlich dort zu sein."
2090,Die Beatles sind die Besten.,Sie sind die beste Musikgruppe aller Zeiten.
2091,Sie sind die beste Musikgruppe aller Zeiten.,Ich liebe alle ihre Lieder.
2092,Ich liebe alle ihre Lieder.,"Ich weiß nicht, welches mir am besten gefällt."
2093,"Ich weiß nicht, welches mir am besten gefällt.","Ich mag die, mit denen ich mitsingen kann."
2094,"Ich mag die, mit denen ich mitsingen kann.","Ich auch, wie „Sie liebt dich.“"
2095,"Ich auch, wie „Sie liebt dich.“","„Sie liebt dich, ja, ja, ja!…“"
2096,"„Sie liebt dich, ja, ja, ja!…“","„Â…und du weißt, dass du froh sein solltest!“"
2097,"„Â…und du weißt, dass du froh sein solltest!“",was für ein großartiges Lied.
2098,was für ein großartiges Lied.,Wie wäre es mit „Lass es sein?“
2099,Wie wäre es mit „Lass es sein?“,"Oh ja! „Lass es sein, lass es sein …“"
2100,"Oh ja! „Lass es sein, lass es sein …“","„Â…es wird eine Antwort geben, lass es sein!“"
2101,Lass uns ins Kino gehen.,Ich würde lieber nicht.
2102,i'd rather not.,Warum nicht?
2103,why not?,"Du weißt, ich mag keine Menschenmassen."
2104,"Du weißt, ich mag keine Menschenmassen.",Lass uns in einen frühen Film gehen.
2105,Lass uns in einen frühen Film gehen.,"Okay, das wird nicht sehr voll sein."
2106,"Okay, das wird nicht sehr voll sein.",Was möchten Sie sehen?
2107,Was möchten Sie sehen?,"Oh, das ist mir egal. Du bist derjenige, der ausgehen will."
2108,"Oh, das ist mir egal. Du bist derjenige, der ausgehen will.","Nun, ich möchte „das Streben nach Glück“ sehen."
2109,"Nun, ich möchte „das Streben nach Glück“ sehen.",Was hast du davon gehört?
2110,Was hast du davon gehört?,Es basiert auf einer wahren Geschichte über einen geschiedenen Mann und seinen kleinen Sohn.
2111,Es basiert auf einer wahren Geschichte über einen geschiedenen Mann und seinen kleinen Sohn.,"Nun ja, ich hoffe, dass es ein Happy End hat."
2112,Was machst du am liebsten?,"Ich mag es, Leute zu beobachten."
2113,"Ich mag es, Leute zu beobachten.",Das ist deine Lieblingsbeschäftigung?
2114,Das ist deine Lieblingsbeschäftigung?,"Nun, es ist einer von ihnen."
2115,"Nun, es ist einer von ihnen.","Wohin gehst du, um Leute zu beobachten?"
2116,"Wohin gehst du, um Leute zu beobachten?",Meine Freundin und ich sitzen draußen vor Starbucks.
2117,Meine Freundin und ich sitzen draußen vor Starbucks.,das hört sich nach einem guten Ort an.
2118,das hört sich nach einem guten Ort an.,"Wir beobachten Menschen, die mit ihren Hunden vorbeigehen."
2119,"Wir beobachten Menschen, die mit ihren Hunden vorbeigehen.","Ich schätze, man sieht viele verschiedene Hunde."
2120,"Ich schätze, man sieht viele verschiedene Hunde.","Wir wissen nicht einmal, um welche Art es sich bei den meisten handelt."
2121,"Wir wissen nicht einmal, um welche Art es sich bei den meisten handelt.","Es gibt viele verschiedene Arten, aber eines haben sie alle gemeinsam."
2122,"Es gibt viele verschiedene Arten, aber eines haben sie alle gemeinsam.","Ja, sie lieben es, sich gegenseitig zu beschnüffeln, wenn sie sich treffen."
2123,Sie nennen ihn Vater-Dollar-Schein.,"Ja, er war heute in den Fernsehnachrichten."
2124,"Ja, er war heute in den Fernsehnachrichten.",Jeden Ostersonntag verschenkt er Geld.
2125,Jeden Ostersonntag verschenkt er Geld.,ist es sein Geld?
2126,ist es sein Geld?,NEIN. Filmstars geben ihm Geld für Obdachlose.
2127,NEIN. Filmstars geben ihm Geld für Obdachlose.,Wie viel Geld verschenkt er?
2128,Wie viel Geld verschenkt er?,Dieses Jahr verschenkte er 15.000 Dollar.
2129,Dieses Jahr verschenkte er 15.000 Dollar.,das ist eine Menge Geld.
2130,das ist eine Menge Geld.,Er spendete 100 Dollar an Rollstuhlfahrer.
2131,Er spendete 100 Dollar an Rollstuhlfahrer.,Was ist mit den anderen Obdachlosen?
2132,Was ist mit den anderen Obdachlosen?,Sie bekamen jeweils 1 Dollar.
2133,Sie bekamen jeweils 1 Dollar.,"Die Leute stehen Schlange, nur um einen Dollar zu bekommen?!"
2134,Alte Filme sind die besten.,obwohl sie schwarz auf weiß sind.
2135,obwohl sie schwarz auf weiß sind.,Eine gute Geschichte ist wichtiger als Farbe.
2136,Eine gute Geschichte ist wichtiger als Farbe.,Schauspieler fluchten damals nicht.
2137,Schauspieler fluchten damals nicht.,und es gab keine Gewalt.
2138,und es gab keine Gewalt.,Das gefällt den Leuten heute nicht.
2139,Das gefällt den Leuten heute nicht.,"Nein, heute mögen die Leute viel Action."
2140,"Nein, heute mögen die Leute viel Action.",Ich mag eine gute Geschichte.
2141,Ich mag eine gute Geschichte.,"Ich mag es, Schauspieler zu sehen, die wie echte Menschen sind."
2142,"Ich mag es, Schauspieler zu sehen, die wie echte Menschen sind.",wie echte Menschen mit echten Problemen.
2143,wie echte Menschen mit echten Problemen.,Sie machen immer noch solche Filme.
2144,Sie machen immer noch solche Filme.,"Ja, aber sie verdienen nie viel Geld."
2145,Bekommst du PBS im Fernsehen?,"Ja, jeder bekommt das öffentliche Rundfunksystem."
2146,"Ja, jeder bekommt das öffentliche Rundfunksystem.",es bringt mich zum Einschlafen.
2147,es bringt mich zum Einschlafen.,Erzähl mir davon.
2148,Erzähl mir davon.,Auf eine Strickshow folgt eine Gartenschau.
2149,Auf eine Strickshow folgt eine Gartenschau.,Auf eine Nähshow folgt eine Kochshow.
2150,Auf eine Nähshow folgt eine Kochshow.,Eine Reisesendung folgt auf eine andere Reisesendung.
2151,Eine Reisesendung folgt auf eine andere Reisesendung.,Ich sage! Ich bin schon ein Dutzend Mal um die Welt gereist!
2152,Ich sage! Ich bin schon ein Dutzend Mal um die Welt gereist!,Jetzt fügen sie den alten Filmen alte Fernsehsendungen hinzu.
2153,Jetzt fügen sie den alten Filmen alte Fernsehsendungen hinzu.,Ich würde auf jeden Fall zur Abwechslung mal etwas Interessantes sehen.
2154,Ich würde auf jeden Fall zur Abwechslung mal etwas Interessantes sehen.,"Wenn mehr Leute Geld spenden, könnte PBS neue Shows anbieten."
2155,"Wenn mehr Leute Geld spenden, könnte PBS neue Shows anbieten.",Wer möchte ausgeben? Das öffentliche Fernsehen sollte kostenlos sein.
2156,"Ich liebe es, „Judge Judy“ zu sehen.",Ist das eine Fernsehsendung?
2157,Ist das eine Fernsehsendung?,Ja. Es läuft jeden Nachmittag.
2158,Ja. Es läuft jeden Nachmittag.,Was ist daran so gut?
2159,Was ist daran so gut?,Sie haben interessante Klagen.
2160,Sie haben interessante Klagen.,wie zum Beispiel?
2161,wie zum Beispiel?,"Gestern beschwerte sich eine Frau über ein Handy, das sie bei eBay gekauft hatte."
2162,"Gestern beschwerte sich eine Frau über ein Handy, das sie bei eBay gekauft hatte.",Stimmt etwas mit dem Telefon nicht?
2163,Stimmt etwas mit dem Telefon nicht?,es funktioniert nur in Kanada.
2164,es funktioniert nur in Kanada.,Wusste der Verkäufer das?
2165,Wusste der Verkäufer das?,"Ja, und er hat es dem Käufer nicht gesagt."
2166,"Ja, und er hat es dem Käufer nicht gesagt.","Ich hoffe, Richterin Judy hat den Verkäufer dazu gebracht, das Telefon zurückzunehmen."
2167,Diese Frau ist eine sehr gute Sängerin.,"Ja, aber sie sieht aus wie ein Mann."
2168,"Ja, aber sie sieht aus wie ein Mann.",Welchen Unterschied macht es?
2169,Welchen Unterschied macht es?,Sängerinnen sollen hübsch sein.
2170,Sängerinnen sollen hübsch sein.,Sänger sollen gut klingen.
2171,Sänger sollen gut klingen.,Sie sollten auch gut aussehen.
2172,Sie sollten auch gut aussehen.,Es gibt viele hässliche männliche Sänger.
2173,Es gibt viele hässliche männliche Sänger.,Männersänger müssen nicht gut aussehen.
2174,Männersänger müssen nicht gut aussehen.,dann gilt das auch für Sängerinnen.
2175,dann gilt das auch für Sängerinnen.,"Naja, ich würde ihre CD nie kaufen."
2176,"Naja, ich würde ihre CD nie kaufen.","Aber du würdest ihre CD kaufen, wenn sie hübsch wäre?"
2177,"Aber du würdest ihre CD kaufen, wenn sie hübsch wäre?",Ja. Ich würde alle ihre CDs kaufen.
2178,Alle Fernsehsender werden auf Digital umstellen.,"Ja, das wird nächsten Monat passieren."
2179,"Ja, das wird nächsten Monat passieren.",Die meisten von ihnen senden bereits digital.
2180,Die meisten von ihnen senden bereits digital.,Das digitale Signal ist sehr klar.
2181,Das digitale Signal ist sehr klar.,"oh nein, das ist es nicht!"
2182,"oh nein, das ist es nicht!",Wie meinst du das?
2183,what do you mean?,Ich kann keinen einzigen Kanal empfangen.
2184,Ich kann keinen einzigen Kanal empfangen.,Hast du einen digitalen Fernseher?
2185,Hast du einen digitalen Fernseher?,Natürlich. aber ich habe kein Kabel.
2186,Natürlich. aber ich habe kein Kabel.,"Sie benötigen kein Kabel, aber eine gute Antenne."
2187,"Sie benötigen kein Kabel, aber eine gute Antenne.",aber ich habe Hasenohren.
2188,aber ich habe Hasenohren.,Hasenohren sind nicht stark genug. Kaufen Sie eine digitale Antenne.
2189,Ich habe ein Date für dich.,Ach wirklich?
2190,"oh, really?",Bist du interessiert?
2191,Bist du interessiert?,Vielleicht. Wie ist sie?
2192,Vielleicht. Wie ist sie?,Sie hat eine tolle Persönlichkeit.
2193,Sie hat eine tolle Persönlichkeit.,"uh-oh. Das bedeutet, dass sie fett und hässlich ist."
2194,"uh-oh. Das bedeutet, dass sie fett und hässlich ist.",Sie ist süß.
2195,Sie ist süß.,"okay, also ist sie nicht hässlich; sie ist einfach fett."
2196,"okay, also ist sie nicht hässlich; sie ist einfach fett.",sie wiegt 98 Pfund.
2197,sie wiegt 98 Pfund.,"Okay, sie ist nicht fett. Also, was ist das Problem mit ihr?"
2198,"Okay, sie ist nicht fett. Also, was ist das Problem mit ihr?","Wer hat gesagt, dass es ein Problem mit ihr gibt?"
2199,"Wer hat gesagt, dass es ein Problem mit ihr gibt?","Das Problem ist, dass sie keine Probleme hat – sie ist zu gut für mich!"
2200,Ich finde dich sehr hübsch.,Danke.
2201,thank you.,Würdest du mit mir zu Abend essen?
2202,Würdest du mit mir zu Abend essen?,Ich möchte.
2203,Ich möchte.,Kann ich dich Freitagabend abholen?
2204,Kann ich dich Freitagabend abholen?,wie viel Uhr?
2205,what time?,acht Uhr.
2206,acht Uhr.,das klingt gut.
2207,das klingt gut.,Wir gehen in ein französisches Restaurant.
2208,Wir gehen in ein französisches Restaurant.,Ich war noch nie in einem französischen Restaurant.
2209,Ich war noch nie in einem französischen Restaurant.,"Ich denke, du wirst das Essen lieben."
2210,"Ich denke, du wirst das Essen lieben.",Ich werde keine Schnecken essen!
2211,du hast schöne Augen.,Danke. Das tust du auch.
2212,Danke. Das tust du auch.,"Ich wünschte, meine Augen wären blau."
2213,"Ich wünschte, meine Augen wären blau.",Was ist mit grünen Augen los?
2214,Was ist mit grünen Augen los?,"nichts, außer dass meine Lieblingsfarbe Blau ist."
2215,"nichts, außer dass meine Lieblingsfarbe Blau ist.",Vielleicht wirst du in deinem nächsten Leben blaue Augen haben.
2216,Vielleicht wirst du in deinem nächsten Leben blaue Augen haben.,"Aber was ist, wenn ich in meinem nächsten Leben ein Fisch bin?"
2217,"Aber was ist, wenn ich in meinem nächsten Leben ein Fisch bin?","Ich glaube, manche Fische haben blaue Augen."
2218,"Ich glaube, manche Fische haben blaue Augen.","Ich hoffe, ich komme nicht als Fisch zurück."
2219,"Ich hoffe, ich komme nicht als Fisch zurück.","Ich hoffe, ich komme als Katze zurück."
2220,"Ich hoffe, ich komme als Katze zurück.",Katzen haben schöne Augen.
2221,Katzen haben schöne Augen.,Ich hätte gerne blaue Katzenaugen.
2222,Ich liebe dich.,Ich liebe dich auch.
2223,Ich liebe dich auch.,"Ich liebte dich am ersten Tag, als ich dich sah."
2224,"Ich liebte dich am ersten Tag, als ich dich sah.",es war Liebe auf den ersten Blick?
2225,es war Liebe auf den ersten Blick?,"Ja, es war Liebe auf den ersten Blick."
2226,"Ja, es war Liebe auf den ersten Blick.",Ich habe dich zuerst nicht geliebt.
2227,Ich habe dich zuerst nicht geliebt.,Ich weiß. Ich musste dich eine Weile verfolgen.
2228,Ich weiß. Ich musste dich eine Weile verfolgen.,"Ja, du hast mich gejagt und dann hast du mich erwischt."
2229,"Ja, du hast mich gejagt und dann hast du mich erwischt.",Jetzt gehörst du für immer mir.
2230,Jetzt gehörst du für immer mir.,und du gehörst für immer mir.
2231,und du gehörst für immer mir.,wir werden zusammen alt werden.
2232,wir werden zusammen alt werden.,und gemeinsam glücklich sein.
2233,Ich bin in dieses Mädchen verliebt.,hast du es ihr gesagt?
2234,hast du es ihr gesagt?,natürlich nicht.
2235,natürlich nicht.,Warum nicht?
2236,why not?,sie würde mich auslachen.
2237,sie würde mich auslachen.,woher weißt du das?
2238,how do you know?,weil sie es immer tun.
2239,weil sie es immer tun.,vielleicht ist sie anders.
2240,vielleicht ist sie anders.,sie sind alle gleich.
2241,sie sind alle gleich.,Lade sie einfach zum Abendessen ein.
2242,Lade sie einfach zum Abendessen ein.,und dann was?
2243,und dann was?,"und dann wird sie wissen, dass du sie magst."
2244,umarme mich.,ich bin nicht in der Stimmung.
2245,ich bin nicht in der Stimmung.,Was ist los?
2246,what's the matter?,"Ich habe gesehen, wie du diese Frau angesehen hast."
2247,"Ich habe gesehen, wie du diese Frau angesehen hast.",welche Frau?
2248,welche Frau?,"Sie wissen schon, diese Frau mit den großen Brüsten."
2249,"Sie wissen schon, diese Frau mit den großen Brüsten.",Ich habe sie nicht angesehen.
2250,Ich habe sie nicht angesehen.,Das warst du auch.
2251,Das warst du auch.,Ich interessiere mich nicht für sie.
2252,Ich interessiere mich nicht für sie.,Warum hast du sie dann angeschaut?
